t,true_lat,true_lon,ins_lat,ins_lon,ekf_lat,ekf_lon,nn_lat,nn_lon
2786.9,0.791120220114124,-1.3403184362377951,0.7911685403386363,-1.3403276914851403,0.7911219546899213,-1.3403145420865272,0.7911217519875527,-1.340315244156065
2787.0,0.7911197488752258,-1.3403196701855764,0.7911680403386362,-1.3403288914851403,0.7911214531245041,-1.3403157387118403,0.7911212493476643,-1.3403164410755812
2787.1000000000004,0.7911192828723156,-1.3403209093693451,0.7911675403386362,-1.3403300914851404,0.7911209513465562,-1.3403169351059956,0.7911207466491581,-1.3403176380066797
2787.2000000000003,0.7911188168694053,-1.3403221485531143,0.7911671403386362,-1.3403313914851405,0.7911205493613888,-1.3403182313217232,0.7911203439060188,-1.3403189349146545
2787.3,0.7911183526118244,-1.3403233877368832,0.7911666403386363,-1.3403325914851405,0.7911200471890284,-1.3403194274011416,0.7911198411293069,-1.3403201317887914
2787.4,0.7911178918449018,-1.3403246304113106,0.7911661403386362,-1.3403337914851403,0.7911195448744841,-1.3403206233853062,0.7911193383422137,-1.3403213286148248
2787.5,0.7911174328233085,-1.3403258765763963,0.7911657403386362,-1.3403350914851404,0.7911191425133899,-1.3403219193284175,0.7911189355863184,-1.3403226253866154
2787.6000000000004,0.7911169772923737,-1.3403271227414826,0.7911652403386362,-1.3403362914851404,0.7911186402093323,-1.340323115297342,0.7911184328878261,-1.34032382213657
2787.7000000000003,0.7911165235067682,-1.3403283723972268,0.7911648403386362,-1.3403375914851403,0.7911182380130514,-1.3403244113277164,0.791118030256496,-1.3403251188838858
2787.8,0.7911160732118213,-1.3403296220529712,0.7911643403386363,-1.3403387914851403,0.791117735980447,-1.3403256074984125,0.7911175276889407,-1.3403263156627885
2787.9,0.7911156246622034,-1.340330873454045,0.7911639403386362,-1.3403400914851404,0.7911173340791824,-1.3403269038381822,0.7911171251566667,-1.3403276124776256
2788.0,0.791115177857915,-1.3403321283457772,0.7911634403386362,-1.3403412914851405,0.7911168322692087,-1.34032810039643,0.7911166226246247,-1.340328809334724
2788.1000000000004,0.7911147327989557,-1.34033338149218,0.7911630403386362,-1.3403425914851403,0.7911164304803135,-1.3403293972151342,0.7911162200508527,-1.34033010623896
2788.2000000000003,0.7911142912306549,-1.3403346398745708,0.7911626403386363,-1.3403438914851404,0.7911160286236608,-1.340330694289579,0.7911158174029135,-1.3403314031902664
2788.3,0.791113854898342,-1.34033590174762,0.7911621403386362,-1.3403450914851405,0.7911155266323181,-1.3403318915574902,0.7911153146860822,-1.3403326001771396
2788.4,0.7911134203113582,-1.3403371636206691,0.7911617403386362,-1.3403463914851403,0.7911151244729956,-1.3403331889370202,0.7911149119302481,-1.340333897179179
2788.5,0.7911129874697036,-1.3403384272390475,0.7911613403386362,-1.3403476914851404,0.7911147221535743,-1.3403344863750002,0.7911145091686845,-1.3403351941806563
2788.6000000000004,0.7911125581187077,-1.3403396943480845,0.7911608403386362,-1.3403488914851405,0.7911142196989454,-1.3403356838590474,0.7911140064150465,-1.340336391182512
2788.7000000000003,0.7911121340036995,-1.3403409632024506,0.7911604403386362,-1.3403501914851403,0.7911138171152354,-1.3403369813943944,0.7911136036598546,-1.3403376881903843
2788.8,0.7911117133793497,-1.3403422355474754,0.7911600403386362,-1.3403514914851404,0.7911134144054244,-1.3403382790029537,0.7911132008875819,-1.340338985214993
2788.9,0.7911112945003292,-1.3403435096378293,0.7911596403386362,-1.3403526914851405,0.7911130115898518,-1.3403394766738548,0.7911127981016213,-1.340340182248162
2789.0,0.7911108791119673,-1.3403447854735124,0.7911592403386362,-1.3403539914851403,0.7911126086649727,-1.3403407744170313,0.7911123952886246,-1.3403414792924826
2789.1000000000004,0.7911104672142638,-1.3403460647998544,0.7911587403386362,-1.3403552914851404,0.7911121056081868,-1.3403420722896011,0.7911118924184507,-1.3403427763703368
2789.2000000000003,0.7911100588072189,-1.340347344126196,0.7911583403386362,-1.3403565914851403,0.7911117024195272,-1.3403433702698924,0.7911114894866755,-1.3403440734622014
2789.3,0.7911096538908323,-1.340348625197867,0.7911579403386362,-1.3403578914851404,0.7911112991161223,-1.3403446683227238,0.7911110865061045,-1.3403453705518091
2789.4,0.7911092524651043,-1.3403499097601965,0.7911575403386362,-1.3403590914851404,0.7911108957462021,-1.3403458663816759,0.7911106835163182,-1.3403465676173705
