t,n_err,e_err,n_std,e_std
186.70000000000002,0.33403346100036024,-2.3542978083747443,1.0074437175378061,1.3116131426180762
186.8,0.33308675954679484,-2.357392762161961,1.0083976441171703,1.31318120890797
186.9,0.33212994833490167,-2.360490296708557,1.009353305033473,1.314751038816571
187.0,0.3311716504146919,-2.363606906543195,1.0103106980354626,1.3163226292429067
187.1,0.3302151867633816,-2.3667294552249576,1.0112698209892406,1.317895977218506
187.20000000000002,0.3292649146562806,-2.3698487281246043,1.0122306719166383,1.3194710797509102
187.29999999999998,0.32828977848777025,-2.3729737547080556,1.0131932489611795,1.3210479337500733
187.4,0.32730923314106536,-2.3760983137822818,1.0141575503464701,1.3226265362470035
187.5,0.3263177516929708,-2.379229377754194,1.015123574362577,1.324206884381761
187.6,0.32532245842694757,-2.382376216444574,1.0160913192403862,1.3257889753189205
187.70000000000002,0.3243351654389862,-2.3855161962829285,1.017060783056637,1.3273728061894299
187.79999999999998,0.32334701135183225,-2.3886607002316533,1.0180319637780522,1.32895837397077
187.9,0.32234753742801314,-2.391805018348165,1.019004859274184,1.3305456755546912
188.0,0.3213387701587617,-2.3949641559839505,1.0199794673302702,1.332134707873184
188.1,0.32031995200380264,-2.3981243908007572,1.020955785727193,1.3337254679954864
188.2,0.31930505560940586,-2.401298872394139,1.0219338122566999,1.335317952982465
188.29999999999998,0.3182749062689333,-2.4044666126231187,1.0229135447544548,1.336912159858553
188.4,0.31725230254047226,-2.40765482599741,1.0238949811684845,1.3385080857616192
188.5,0.3162283596396717,-2.4108512383283114,1.0248781194457977,1.3401057277585053
188.60000000000002,0.3151902547075961,-2.414055866702434,1.0258629575251865,1.3417050828380237
188.7,0.3141457433112356,-2.4172706520611555,1.0268494934317078,1.3433061481768034
188.79999999999998,0.3131114310458081,-2.4205017175676815,1.027837725223579,1.3449089210347625
188.9,0.31208011063894964,-2.4237380068323096,1.0288276509611676,1.346513398601876
189.0,0.31104579979217134,-2.426978391232441,1.0298192687288292,1.3481195780604338
189.10000000000002,0.31001862954284504,-2.43022281473527,1.0308125766048464,1.3497274565687085
189.2,0.30898589264917936,-2.4334696249398386,1.031807572620288,1.3513370312056456
189.29999999999998,0.3079365012181775,-2.436703039401167,1.0328042548074874,1.352948299118823
189.4,0.30687978193264914,-2.4399320084890896,1.0338026212556082,1.3545612575532278
189.5,0.305815331196712,-2.443164847639662,1.034802670108058,1.3561759037877334
189.60000000000002,0.30474362140910144,-2.446404512310797,1.0358043995653583,1.3577922351539866
189.7,0.3036674096476249,-2.44966478309309,1.0368078078372518,1.3594102489740114
189.8,0.30258894299807515,-2.4529366085629953,1.0378128930564643,1.3610299424897727
189.9,0.3014940147429553,-2.456200430633768,1.038819653360731,1.362651312945451
190.0,0.3003950448545133,-2.459476215113124,1.0398280869750318,1.3642743577801166
190.1,0.29930886590615796,-2.4627486562340226,1.0408381921272871,1.3658990745074016
190.2,0.2982190177108523,-2.4660303067733547,1.041849966982046,1.3675254603914302
190.3,0.29711915267689026,-2.4693191948521216,1.042863409650235,1.3691535126481313
190.4,0.29602362931352516,-2.4726140606438025,1.043878518272686,1.370783228742199
190.5,0.294937333329956,-2.475916752962689,1.0448952910211962,1.3724146061638465
190.6,0.29384434928727426,-2.479217742653613,1.0459137261001274,1.3740476422446355
190.7,0.29272927244793606,-2.4825358007917635,1.0469338217692439,1.3756823342869833
190.8,0.2916012287606791,-2.4858593681843173,1.0479555762894701,1.3773186797610866
190.9,0.29048515534487523,-2.489179901123008,1.0489789880228781,1.3789566762184151
191.0,0.2893565491773004,-2.4925107856586424,1.0500040554722672,1.3805963211597412
191.1,0.2882291268439596,-2.495842893213309,1.0510307771750806,1.382237612193805
191.2,0.2871092813321975,-2.4991842788725593,1.052059151652403,1.3838805469724924
191.3,0.28597793085510387,-2.5025325391140028,1.0530891772991129,1.3855251230343624
191.4,0.2848418911472391,-2.5058799784945447,1.0541208523430732,1.387171337897652
191.5,0.2837054882742715,-2.5092397016530232,1.0551541749348567,1.3888191891188428
191.6,0.28256733341238105,-2.512606871422948,1.0561891431731898,1.3904686742428343
191.7,0.2814231579498368,-2.515982460320557,1.0572257551705027,1.3921197908085703
191.8,0.28027976343501393,-2.519367726285795,1.058264009150517,1.3937725364472469
191.9,0.27913650014237046,-2.522750841690307,1.0593039034775513,1.3954269088420033
192.0,0.27799123021951233,-2.5261386067611897,1.0603454366687544,1.397082905675892
192.1,0.2768439437361512,-2.5295342063225728,1.0613886073259422,1.3987405246842763
