t,nees_ekf,nees_mpf,nees_fgo
127.6,1.1361717489518175,1.7972254104446397,2.8017667695999173
127.7,1.130432886695098,1.7934133795778417,2.8055632044101557
127.8,1.1259568894227727,1.7901856750637193,2.8094102216168797
127.9,1.1310546343342553,1.7959639264773366,2.813282662697813
128.0,1.1367000298343213,1.8023879790718937,2.817142875263491
128.1,1.1377478632441984,1.8042122704413608,2.821023788355207
128.2,1.1274253067963407,1.7962253850800693,2.824915773341
128.29999999999998,1.1153731976703112,1.7889211449088132,2.828815536966186
128.4,1.1180884815105547,1.7901723768179596,2.8327474754918924
128.5,1.1076565529292384,1.7914274845516056,2.8367188538133172
128.60000000000002,1.1003888434997209,1.7967487639548096,2.84066684249739
128.7,1.1012138836856797,1.791343006367675,2.8445950621110763
128.79999999999998,1.100288010470217,1.7872122728015833,2.8485295533261583
128.9,1.0991258915813047,1.7867288767186618,2.852460201232456
129.0,1.0964638296330764,1.779887414634337,2.856406986545783
129.10000000000002,1.0937151199249433,1.7739147771666612,2.86039584543665
129.2,1.1043029274436211,1.8115999706151027,2.864338905771194
129.29999999999998,1.1163039295420463,1.8477553225128274,2.868277791615503
129.4,1.1295068835072495,1.880378554428123,2.8721944301676423
129.5,1.1164227381019463,1.8574332717108728,2.8761051201969767
129.60000000000002,1.0800046782584443,1.7931259893625624,2.8799966657130405
129.7,1.0752625418273825,1.7875281152247875,2.8838391407608652
129.8,1.1626376219849166,1.9378003754672697,2.887689925226317
129.9,1.1957761139884946,1.9946008787439296,2.8915060589244175
130.0,1.2574694563713495,2.09660026363918,2.8953230548274966
130.1,1.2879006056192726,2.1474605270698457,2.899182965518712
130.2,1.3296353702968797,2.215242296071729,2.9030589155916893
130.3,1.2737133760481627,2.1298797623462615,2.9069541150097375
130.4,1.3173871767124306,2.201013299311942,2.910928844201192
130.5,1.3998832165450623,2.3288341223003726,2.914911023483136
130.6,1.412260982857402,2.34976070346411,2.918893966554652
130.7,1.3828491089305999,2.308458927007207,2.922862821547219
130.8,1.3692845469159032,2.2906391177143988,2.926836043185097
130.9,1.3170689737395809,2.2132497284631993,2.930832898825077
131.0,1.2901686150236598,2.174106442430578,2.9348861107146464
131.1,1.3710000595243963,2.300322731544154,2.938929603568436
131.2,1.4080745721091286,2.357777217450469,2.942913062845906
131.3,1.4379924628809582,2.403396193338902,2.946885218704
131.4,1.5245759084013562,2.5271271811908034,2.950885562698655
131.5,1.5051567031161857,2.501843748889555,2.954873126104296
131.6,1.5137093269478246,2.5169248992051245,2.958950902358767
131.7,1.6221560881802977,2.677090305498625,2.9630444980017763
131.8,1.6788292889103236,2.7585240836876066,2.967133338949716
131.9,1.7125532405623232,2.806951675603395,2.971209408411739
132.0,1.7274466529375183,2.8296013443138164,2.975245761852924
132.1,1.6920820450012437,2.785985077515316,2.9792609767360503
132.2,1.5681669682497834,2.621161895424404,2.983280876955807
132.3,1.4014780403940854,2.3863212476687465,2.9872572219326106
132.4,1.6063149806533135,2.6802687386006276,2.991240224703271
132.5,1.5852116664532847,2.654261076390637,2.9952451984379267
132.6,1.6215248760158807,2.707484851801627,2.999244640655604
132.7,1.6064582869490065,2.6899907468768216,3.0032104619503492
132.8,1.5072465965823905,2.554111309018022,3.007216952182957
132.89999999999998,1.49143354812515,2.534994014530527,3.011227479317877
133.0,1.60524758406858,2.6960654265605157,3.015215242266465
133.1,1.7665109844197286,2.9112150083293082,3.0191571285264605
133.20000000000002,1.8212663660896062,2.9826660602270607,3.023122888345293
133.3,1.7822529108160015,2.9358689884133575,3.0270982528265984
133.39999999999998,1.751908574053946,2.898838088275376,3.0310958558625307
133.5,1.8436036492619379,3.0244772598842333,3.035070133942469
133.6,1.869619878704786,3.062196190231572,3.038995780151588
133.70000000000002,1.9119102317237813,3.1201163949380257,3.042888287591905
133.8,1.7934062569497087,2.9707506388910976,3.0467762851945137
133.89999999999998,1.7716965623068628,2.9459480547293735,3.0506566439771143
134.0,1.7381739211204041,2.90550210863195,3.054470730075441
134.1,1.7767378828394795,2.959388128177499,3.0582555523426826
