tmin,e_ins,e_ekf_m4,e_fgo_m4,e_ekf_m5,e_fgo_m5
35.91,163.22,41611.8,44.25,59.82,19.57
36.12,162.84,41674.78,44.04,55.25,18.66
36.33,162.37,41720.67,43.6,79.71,17.49
36.54,161.98,41754.64,43.34,84.74,16.48
36.75,161.23,41823.1,42.63,77.34,14.98
36.96,160.74,41893.87,41.94,69.66,13.47
37.17,160.38,41970.91,41.33,25.02,12.02
37.38,159.74,42050.17,40.83,8.98,10.65
37.59,159.27,42070.39,40.23,5.2,9.16
37.8,158.44,42100.58,39.66,4.08,7.72
38.01,157.87,42188.07,38.75,3.47,5.93
38.22,157.4,42362.88,38.3,5.03,4.68
38.43,156.66,42518.61,37.53,6.89,3.56
38.64,155.62,42731.05,30.05,5.89,8.63
38.85,155.1,42775.79,28.3,6.75,7.34
39.06,154.35,42872.95,26.49,8.54,6.04
39.27,153.54,42983.88,24.92,10.15,5.02
39.48,152.9,43056.87,23.26,11.95,4.06
39.69,152.26,43151.48,21.73,13.69,3.41
39.9,151.3,43276.17,19.52,14.54,2.68
40.11,150.56,43396.23,17.65,16.11,3.06
40.32,149.84,43501.17,16.18,18.81,3.74
40.53,149.09,43638.47,14.22,21.1,5.1
40.74,148.01,43759.81,12.12,22.32,6.48
40.95,147.18,43881.83,10.37,18.85,8.07
41.16,146.21,44007.13,9.08,22.27,9.07
41.37,145.49,44130.63,8.09,16.53,10.68
41.58,144.35,44255.34,7.3,12.85,12.23
41.79,143.66,44365.86,7.81,13.47,14.11
42.0,143.0,44465.1,8.46,12.11,4.99
42.21,141.7,44584.56,7.65,14.85,4.97
42.42,141.09,44714.45,6.23,15.88,4.33
42.63,140.11,44837.16,5.47,14.52,4.28
42.84,139.26,44958.96,4.71,15.96,4.16
43.05,137.94,45100.88,3.69,22.24,3.41
43.26,136.83,45251.6,3.59,22.02,3.15
43.47,135.89,45395.65,4.17,23.74,3.56
43.68,134.67,45527.92,4.96,24.52,3.72
43.89,133.02,45662.43,6.48,22.14,4.82
44.1,132.23,45712.58,7.04,27.04,5.04
44.31,131.09,45378.07,7.9,21.47,5.38
44.52,130.47,44759.65,8.22,25.29,5.29
44.73,129.47,44015.61,8.89,11.12,5.95
44.94,128.21,43757.15,9.73,10.45,6.63
45.15,126.67,43527.47,10.69,12.28,7.61
45.36,125.57,43754.19,11.15,12.7,8.33
45.57,124.26,44259.78,9.69,10.93,8.49
45.78,123.47,44048.76,9.69,9.16,8.47
45.99,121.97,44163.95,10.42,9.72,9.11
46.2,121.01,44200.51,10.7,9.01,9.0
46.41,119.74,44291.97,11.39,10.01,9.07
46.62,118.65,44436.97,11.63,10.68,9.72
46.83,117.12,44508.92,12.63,11.82,9.82
47.04,116.01,44551.32,13.23,12.04,9.86
47.25,114.44,44533.92,14.42,12.31,10.14
47.46,113.28,44630.28,15.36,12.34,10.09
47.67,111.84,44700.37,16.67,12.61,10.26
47.88,110.21,44730.55,17.99,13.52,10.85
48.09,108.88,44841.93,19.2,14.14,11.14
48.3,107.3,44900.06,21.0,14.09,11.48
48.51,106.0,44971.73,22.29,14.52,11.8
48.72,104.88,45038.28,23.93,14.49,11.78
48.93,103.55,45110.53,25.15,14.3,12.21
49.14,102.32,45092.17,18.37,28.9,12.04
49.35,100.57,45173.35,19.03,22.04,12.48
49.56,99.26,45197.44,19.18,24.98,12.52
49.77,97.49,45575.89,19.69,26.06,12.95
49.98,96.17,45862.92,19.95,27.32,12.86
50.19,94.72,45869.16,20.23,17.57,12.88
50.4,93.24,45997.21,20.29,16.28,13.02
50.61,91.35,46138.27,20.79,17.3,13.48
50.82,89.87,46353.48,20.99,17.09,13.49
51.03,88.66,46380.26,21.08,17.8,13.14
51.24,87.15,46444.37,21.2,18.88,13.17
51.45,85.55,46517.07,21.37,19.58,13.3
51.66,84.19,46594.0,21.46,20.18,13.11
51.87,82.41,46648.0,21.96,20.88,13.3
52.08,80.79,46707.69,22.36,18.54,13.28
52.29,79.2,46739.27,22.67,18.68,13.3
52.5,78.17,46753.6,10.66,17.46,11.6
52.71,76.3,47095.64,10.0,15.79,11.39
52.92,74.6,47213.05,9.51,11.46,11.67
53.13,72.99,47258.57,9.04,11.41,11.53
53.34,71.58,47330.97,8.66,10.06,11.14
53.55,70.41,47403.5,8.81,11.11,10.74
