nlat,nlon,latlo,lathi,lonlo,lonhi
60.0,60.0,44.597641308,44.93174149199999,-76.21558368000001,-75.79728361999999
-370.67,-299.86,-476.21,-554.45,-558.39,-538.52,-516.32,-511.77,-516.62,-508.56,-530.75,-555.7,-537.01,-401.43,-376.66,-402.03,-356.05,-445.17,-510.06,-538.23,-538.87,-561.67,-571.54,-586.85,-577.33,-557.79,-516.08,-361.84,-258.21,-370.82,-252.5,57.69,183.23,93.17,160.04,294.22,173.37,130.24,103.52,27.23,77.07,116.83,150.85,87.21,27.77,54.64,71.14,-44.61,-154.63,-213.06,-242.84,-270.4,-277.1,-286.53,-172.67,101.74,-44.88,-163.2,-195.31,-256.48
-383.08,-364.57,-411.07,-521.62,-519.98,-510.71,-487.89,-481.95,-499.28,-505.11,-523.68,-552.36,-545.37,-418.71,-444.13,-428.89,-335.19,-426.49,-518.6,-547.94,-569.25,-556.12,-582.04,-600.33,-610.45,-614.69,-609.12,-430.74,-226.42,-388.68,-483.39,-394.17,-214.25,-80.86,46.1,273.95,238.54,187.85,145.92,177.37,246.56,297.07,159.44,112.11,88.63,116.79,151.3,15.34,-147.92,-194.7,-246.27,-295.53,-282.92,-245.69,-205.46,-155.48,-109.51,-138.93,-166.27,-188.69
-326.77,-352.36,-421.29,-464.41,-498.67,-496.13,-461.89,-429.51,-473.31,-504.73,-527.02,-541.56,-508.02,-433.33,-431.75,-309.55,-264.29,-410.99,-517.69,-534.79,-557.12,-563.96,-585.5,-603.28,-620.74,-638.73,-673.01,-704.78,-588.52,-269.43,-460.07,-587.57,-617.79,-353.97,-97.88,140.57,436.98,520.1,369.01,324.2,427.73,481.8,227.92,94.64,106.52,119.83,113.9,56.45,-57.42,-178.01,-257.99,-312.22,-318.21,-276.02,-188.66,-120.85,-57.75,-28.07,-109.84,-176.38
-323.07,-330.11,-367.61,-417.05,-462.6,-457.36,-434.71,-451.18,-479.21,-501.09,-517.7,-538.59,-521.63,-461.73,-411.73,-285.84,-243.94,-334.25,-510.89,-538.27,-569.88,-600.55,-621.53,-606.08,-622.01,-648.6,-669.96,-712.28,-723.55,-479.03,-195.15,-372.95,-634.4,-575.92,-282.95,-101.37,197.13,283.33,240.11,261.29,382.77,382.6,222.43,155.24,97.21,-0.12,29.97,70.56,-11.39,-144.73,-242.78,-294.21,-293.79,-233.84,-98.29,-9.05,-34.22,-18.32,-115.2,-173.47
-326.27,-335.0,-358.6,-390.29,-408.03,-412.71,-418.15,-439.73,-456.14,-469.57,-483.1,-512.81,-508.32,-476.96,-467.23,-271.74,-208.49,-321.95,-481.83,-541.2,-581.62,-609.45,-631.3,-595.73,-569.39,-609.73,-641.9,-682.8,-748.21,-766.21,-621.9,-550.02,-592.87,-553.77,-376.14,-199.8,-56.85,7.03,18.36,111.68,222.46,269.61,265.84,199.94,101.58,-27.12,-49.86,58.84,42.65,-117.7,-245.5,-299.81,-275.62,-228.82,-125.9,14.12,17.19,-123.31,-167.49,-46.83
-361.25,-342.32,-340.27,-367.99,-330.96,-314.67,-320.81,-339.29,-387.59,-421.68,-442.06,-495.41,-564.11,-496.63,-485.22,-374.95,-377.77,-470.95,-495.07,-536.41,-570.36,-596.07,-625.77,-605.36,-518.76,-559.45,-611.19,-645.49,-687.43,-719.05,-699.27,-623.44,-510.84,-445.48,-312.7,-169.28,-83.9,-58.28,-52.81,-8.94,72.6,272.21,284.47,190.84,102.45,-15.69,-128.07,-67.23,32.66,-93.83,-241.41,-324.39,-348.54,-283.33,-222.56,-189.26,-125.94,-163.84,-232.88,-235.68
-360.91,-368.98,-364.78,-361.22,-315.57,-280.05,-203.55,-102.16,-292.27,-385.86,-396.15,-440.44,-532.3,-440.76,-487.73,-434.48,-423.05,-485.08,-523.33,-531.92,-551.67,-576.45,-608.47,-614.62,-570.36,-546.1,-591.93,-621.11,-623.39,-632.75,-551.21,-306.91,-61.89,-136.71,-179.06,-99.74,-30.06,-29.45,-53.98,-50.45,-61.44,2.16,109.11,64.46,4.46,-58.65,-160.12,-168.26,29.75,-40.39,-200.59,-294.58,-320.27,-283.35,-262.32,-263.56,-217.26,-186.43,-232.4,-280.48
-375.47,-386.66,-374.73,-344.69,-354.17,-352.59,-345.66,-213.74,-276.66,-349.55,-371.02,-375.55,-469.76,-377.94,-429.65,-405.32,-392.96,-411.54,-469.42,-491.58,-512.04,-533.75,-562.62,-591.1,-593.2,-576.18,-580.61,-605.63,-604.25,-608.12,-551.68,-271.06,32.29,94.05,101.38,168.69,103.07,-8.07,-42.34,-47.01,-43.01,-24.01,30.56,-25.93,-115.4,-162.83,-184.65,-252.39,-62.35,-28.47,-188.61,-289.91,-258.51,-182.02,-149.59,-194.3,-230.33,-200.01,-235.86,-276.38
-402.93,-404.38,-387.99,-325.35,-355.49,-385.64,-372.59,-321.34,-301.1,-296.25,-313.33,-310.43,-384.8,-309.25,-356.66,-354.71,-340.83,-337.67,-409.67,-429.08,-461.53,-482.42,-499.8,-530.53,-559.28,-570.52,-568.98,-595.81,-612.19,-562.91,-501.99,-306.96,-145.51,-104.25,-6.38,108.52,60.88,-45.23,-81.2,-92.13,-77.51,-64.27,-32.89,-71.68,-161.85,-219.3,-251.21,-320.98,-255.59,-92.12,-228.28,-299.46,-187.15,-83.98,-46.72,-46.89,-111.26,-156.34,-156.08,-180.93
-407.18,-377.0,-383.53,-361.65,-354.83,-374.37,-306.22,-301.23,-134.79,-173.25,-236.22,-246.62,-292.76,-262.42,-305.97,-295.21,-287.48,-287.26,-356.76,-384.97,-399.05,-425.33,-433.99,-473.82,-511.25,-541.42,-564.56,-584.91,-616.72,-566.8,-465.82,-388.59,-358.72,-348.3,-290.7,-212.61,-148.91,-152.53,-172.71,-159.46,-153.64,-155.83,-122.84,-107.37,-214.18,-261.94,-314.61,-342.96,-372.81,-259.68,-310.12,-348.33,-204.35,-83.94,-93.55,-106.81,-122.36,-127.9,-167.88,-182.6
-357.26,-349.18,-355.97,-349.23,-338.4,-389.52,-320.58,-277.36,-142.72,-2.79,-125.62,-180.53,-199.46,-204.02,-264.99,-228.16,-212.16,-259.1,-296.74,-319.1,-346.53,-366.2,-392.53,-419.17,-454.67,-494.83,-544.04,-582.57,-598.91,-592.04,-540.44,-492.45,-513.93,-520.9,-495.2,-437.24,-370.75,-324.53,-290.5,-263.48,-245.44,-254.51,-210.87,-174.8,-248.56,-295.52,-284.51,-284.84,-315.23,-314.17,-379.6,-384.0,-199.59,-51.94,-136.0,-248.72,-330.35,-250.95,-185.53,-252.25
-341.72,-319.5,-351.39,-352.92,-335.69,-399.13,-430.43,-398.25,-300.86,-47.99,28.41,-14.93,-21.2,-106.89,-170.3,-159.02,-197.89,-195.21,-225.67,-245.65,-270.55,-290.4,-317.72,-346.62,-386.2,-441.54,-503.96,-571.92,-599.12,-603.99,-632.31,-620.32,-604.17,-581.49,-585.09,-558.13,-503.04,-448.79,-392.99,-367.95,-346.53,-341.3,-307.06,-258.0,-265.4,-334.43,-297.99,-275.57,-359.02,-413.63,-460.81,-407.93,-241.87,-89.39,-190.26,-333.16,-438.0,-442.2,-314.93,-360.78
-376.21,-357.92,-354.24,-389.4,-391.24,-407.43,-469.73,-472.69,-431.92,-242.0,15.24,45.12,110.45,12.43,-136.72,-136.64,-137.93,-130.56,-144.67,-161.89,-182.08,-203.4,-233.28,-253.73,-291.64,-363.74,-450.77,-530.25,-588.48,-617.94,-642.69,-657.99,-649.04,-615.37,-579.81,-569.52,-532.87,-487.4,-448.34,-422.83,-388.7,-370.64,-363.67,-329.26,-277.2,-338.85,-309.58,-327.1,-457.31,-499.33,-505.52,-428.58,-276.85,-115.54,-212.31,-395.94,-444.83,-532.3,-423.32,-426.08
